Country,bloc,w,se,lo,hi
South Korea,Progressive,0.37913148377810996,0.05403785878670166,0.27321728055617467,0.48504568700004524
South Korea,Independent,0.5361066320363814,0.07503967587430488,0.3890288673227439,0.683184396750019
South Korea,Conservative,0.44631057026022564,0.07033312745815329,0.3084576404422452,0.584163500078206
Germany,Left,0.29152638460912944,0.052909827308700946,0.1878231230840756,0.3952296461341833
Germany,Center,0.30457793463842947,0.060290798139366754,0.18640797028527062,0.4227478989915883
Germany,AfD,0.34836225100626916,0.07414856993497809,0.2030310539337121,0.4936934480788262
Taiwan,DPP,0.1755732035124919,0.08181606398305041,0.015213718105713092,0.3359326889192707
Taiwan,TPP,0.2715091002363962,0.0752960859888034,0.12392877169834152,0.4190894287744509
Taiwan,KMT,0.3682802413559547,0.07428545145695743,0.22268075650031816,0.5138797262115913
